Partido;Coalizao;Ano;flagCoalizao
PEN;Dilma 3;2013;0
PEN;Dilma 3;2014;0
PEN;Dilma II 1;2015;0
PEN;Dilma II 2;2015;0
PFL>DEM;Sarney 2;1989;1
PFL>DEM;Collor 1;1990;1
PFL>DEM;Collor 2;1990;1
PFL>DEM;Collor 2;1991;1
PFL>DEM;Collor 3;1991;1
PFL>DEM;Collor 3;1992;1
PFL>DEM;Collor 4;1992;1
PFL>DEM;Itamar 1;1993;1
PFL>DEM;Itamar 2;1993;1
PFL>DEM;Itamar 3;1994;1
PFL>DEM;FHC I 1;1995;1
PFL>DEM;FHC I 1;1996;1
PFL>DEM;FHC I 2;1996;1
PFL>DEM;FHC I 2;1997;1
PFL>DEM;FHC I 2;1998;1
PFL>DEM;FHC II 1;1999;1
PFL>DEM;FHC II 1;2000;1
PFL>DEM;FHC II 1;2001;1
PFL>DEM;FHC II 1;2002;1
PFL>DEM;FHC II 2;2002;0
PFL>DEM;Lula I 1;2003;0
PFL>DEM;Lula I 1;2004;0
PFL>DEM;Lula I 2;2004;0
PFL>DEM;Lula I 3;2005;0
PFL>DEM;Lula I 5;2005;0
PFL>DEM;Lula I 4;2005;0
PFL>DEM;Lula I 5;2006;0
PFL>DEM;Lula II 1;2007;0
PFL>DEM;Lula II 2;2007;0
PFL>DEM;Lula II 2;2008;0
PFL>DEM;Lula II 2;2009;0
PFL>DEM;Lula II 3;2009;0
PFL>DEM;Lula II 3;2010;0
PFL>DEM;Dilma 1;2011;0
PFL>DEM;Dilma 1;2012;0
PFL>DEM;Dilma 2;2012;0
PFL>DEM;Dilma 2;2013;0
PFL>DEM;Dilma 3;2013;0
PFL>DEM;Dilma 3;2014;0
PFL>DEM;Dilma II 2;2015;0
PFL>DEM;Dilma II 1;2015;0
PHS;FHC II 1;1999;0
PHS;FHC II 1;2000;0
PHS;FHC II 1;2001;0
PHS;FHC II 1;2002;0
PHS;FHC II 2;2002;0
PHS;Lula II 2;2007;0
PHS;Lula II 1;2007;0
PHS;Lula II 2;2008;0
PHS;Lula II 2;2009;0
PHS;Lula II 3;2009;0
PHS;Lula II 3;2010;0
