"Ano","Partido","flCoalizao","lflCoalizao"
2012,"PMN",0,FALSE
2012,"PP",1,TRUE
2012,"PPS",0,FALSE
2012,"PR",1,TRUE
2012,"PRB",0.5,TRUE
2012,"PRP",0,FALSE
2012,"PRTB",0,FALSE
2012,"PSB",1,TRUE
2012,"PSC",0,FALSE
2012,"PSD",0,FALSE
2012,"PSDB",0,FALSE
2012,"PSL",0,FALSE
2012,"PSOL",0,FALSE
2012,"PT",1,TRUE
2012,"PTB",0,FALSE
2012,"PTC",0,FALSE
2012,"PTDOB",0,FALSE
2012,"PV",0,FALSE
2013,"DEM",0,FALSE
2013,"PCDOB",1,TRUE
2013,"PDT",1,TRUE
2013,"PEN",0,FALSE
2013,"PHS",0,FALSE
2013,"PMDB",1,TRUE
2013,"PMN",0,FALSE
2013,"PP",1,TRUE
2013,"PPS",0,FALSE
2013,"PR",1,TRUE
2013,"PRB",1,TRUE
2013,"PROS",0,FALSE
2013,"PRP",0,FALSE
2013,"PRTB",0,FALSE
2013,"PSB",0.5,TRUE
2013,"PSC",0,FALSE
2013,"PSD",0,FALSE
2013,"PSDB",0,FALSE
2013,"PSL",0,FALSE
2013,"PSOL",0,FALSE
2013,"PT",1,TRUE
2013,"PTB",0,FALSE
2013,"PTDOB",0,FALSE
2013,"PV",0,FALSE
2013,"SDD",0,FALSE
2014,"DEM",0,FALSE
2014,"PCDOB",1,TRUE
2014,"PDT",1,TRUE
2014,"PEN",0,FALSE
2014,"PMDB",1,TRUE
2014,"PMN",0,FALSE
2014,"PP",1,TRUE
2014,"PPS",0,FALSE
2014,"PR",1,TRUE
2014,"PRB",1,TRUE
2014,"PROS",0,FALSE
2014,"PRP",0,FALSE
2014,"PSB",0,FALSE
2014,"PSC",0,FALSE
2014,"PSD",0,FALSE
2014,"PSDB",0,FALSE
2014,"PSDC",0,FALSE
2014,"PSOL",0,FALSE
2014,"PT",1,TRUE
2014,"PTB",0,FALSE
2014,"PTDOB",0,FALSE
2014,"PV",0,FALSE
2014,"SDD",0,FALSE
2015,"DEM",0,FALSE
2015,"PCDOB",1,TRUE
2015,"PDT",1,TRUE
2015,"PEN",0,FALSE
2015,"PHS",0,FALSE
2015,"PMDB",1,TRUE
2015,"PMN",0,FALSE
2015,"PP",0,FALSE
2015,"PPS",0,FALSE
2015,"PR",1,TRUE
2015,"PRB",1,TRUE
2015,"PROS",0.5,TRUE
2015,"PRP",0,FALSE
